# MicroCART On-board Quad Log
# Sample size: 1333
# IMU IIC failures: 0
# LiDAR IIC failures: 0
# Optical Flow IIC failures: 0
# Roll PID :	Kp = 35.000000 Ki = 0.000000 Kd = 1.000000 Alpha = 0.880000
# Pitch PID :	Kp = 35.000000 Ki = 0.000000 Kd = 1.000000 Alpha = 0.880000
# Yaw PID :	Kp = 2.600000 Ki = 0.000000 Kd = 0.000000 Alpha = 0.000000
# Roll Rate PID :	Kp = 0.030000 Ki = 0.000000 Kd = 0.005000 Alpha = 0.880000
# Pitch Rate PID :	Kp = 0.030000 Ki = 0.000000 Kd = 0.005000 Alpha = 0.880000
# Yaw Rate PID :	Kp = 0.297000 Ki = 0.000000 Kd = 0.000000 Alpha = 0.000000
# X pos PID :	Kp = 0.550000 Ki = 0.007500 Kd = 0.000000 Alpha = 0.000000
# Y pos PID :	Kp = 0.550000 Ki = 0.007500 Kd = 0.000000 Alpha = 0.000000
# Altitude PID :	Kp = -0.098040 Ki = -0.008170 Kd = -0.073530 Alpha = 0.880000
# X Vel PID :	Kp = -0.100000 Ki = 0.000000 Kd = -0.020000 Alpha = 0.000000
# Y Vel PID :	Kp = 0.100000 Ki = 0.000000 Kd = 0.020000 Alpha = 0.000000
# X Vel :	Kp = 0.000000 Ki = 0.000000 Kd = 0.000000 Alpha = 0.880000
# Y Vel :	Kp = 0.000000 Ki = 0.000000 Kd = 0.000000 Alpha = 0.880000
%Time	accel_x	accel_y	accel_z	gyro_x	gyro_y	gyro_z	mag_x	mag_y	mag_z	Roll_Constant	Yaw_Constant	X Setpoint_Constant	Y Setpoint_Constant	Alt Setpoint_Constant	Yaw Setpoint_Constant	Lidar_Constant	VRPN X_Constant	VRPN Y_Constant	VRPN Alt_Constant	Flow Vel X_Constant	Flow Vel Y_Constant	Flow Quality_Constant	Altitude PID_Correction	X pos PID_Correction	Y pos PID_Correction	Pitch PID_Correction	Roll PID_Correction	Yaw PID_Correction	Pitch Rate PID_Correction	Roll Rate PID_Correction	Yaw Rate PID_Correction	Pitch trim add_Sum	Signal Mixer_MOTOR 0	Signal Mixer_MOTOR 1	Signal Mixer_MOTOR 2	Signal Mixer_MOTOR 3	X Vel PID_Correction	Y Vel PID_Correction	X Vel_Correction	Y Vel_Correction	OF Offset Angle_Rotated X	OF Offset Angle_Rotated Y	OF Integrate X_Integrated	OF Integrate Y_Integrated	PSI Sum_Sum	Mag Yaw_Constant
&s	G	G	G	rad/s	rad/s	rad/s	uT	uT	uT	10ns_dutycycle	rad	rad	rad/s	rad/s	rad/s	10ns_dutycycle	10ns_dutycycle	10ns_dutycycle	rad	10ns_dutycycle	10ns_dutycycle	10ns_dutycycle	10ns_dutycycle	rad	rad	m/s	m/s	m/s	m/s	m	m	rad	rad	rad	rad	m	m	m	m	m	m	m	m	m/s	m/s	none
82.725739	-0.037791	0.007047	-0.994632	-0.003514	-0.008679	0.002317	62.304688	151.703125	-314.687500	-0.009679	inf	0.000000	0.000000	-0.880000	0.000000	-0.071100	-0.036446	0.115656	-0.097579	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.115061	0.317907	0.000000	0.004001	0.009724	0.027303	0.001311	0.035682	0.098291	0.109736	0.063132	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001737	0.000000
82.730743	-0.041453	0.006559	-0.994877	-0.003514	-0.006550	0.002317	-73.988289	62.304688	-314.687500	-0.009677	-0.038037	0.000000	0.000000	-0.880000	0.000000	-0.071338	-0.036632	0.116349	-0.097385	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.104769	0.317599	0.000000	0.003339	0.009705	0.027303	0.001315	0.036363	0.097647	0.110380	0.062450	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001749	0.000000
82.735748	-0.039744	0.007779	-0.994388	-0.003514	-0.007615	0.002317	61.171875	150.562500	-311.125000	-0.009673	-0.037450	0.000000	0.000000	-0.880000	0.000000	-0.071571	-0.036496	0.116378	-0.097398	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.096007	0.317187	0.000000	0.003236	0.009684	0.027303	0.001313	0.036487	0.097565	0.110462	0.062326	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001761	0.000000
82.740753	-0.038035	0.008512	-0.992923	-0.002450	-0.007615	0.002317	-72.641937	61.171875	-311.125000	-0.009662	-0.044388	0.000000	0.000000	-0.880000	0.000000	-0.071799	-0.036671	0.115809	-0.097685	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.107890	0.314030	0.000000	0.003577	0.009422	0.027303	0.001311	0.036408	0.098168	0.109859	0.062405	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001773	0.000000
82.745758	-0.039988	0.009488	-0.993412	-0.002450	-0.005486	0.002317	63.437500	150.562500	-318.250000	-0.009652	-0.039612	0.000000	0.000000	-0.880000	0.000000	-0.072022	-0.036758	0.115783	-0.097783	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.100439	0.313333	0.000000	0.003021	0.009410	0.027208	0.001321	0.037141	0.097599	0.110377	0.062002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001785	0.000000
82.750763	-0.041209	0.009000	-0.992923	-0.003514	-0.007615	0.003381	-75.330063	63.437500	-318.250000	-0.009649	-0.041126	0.000000	0.000000	-0.880000	0.000000	-0.072844	-0.036582	0.115888	-0.098058	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.094438	0.313103	0.000000	0.003179	0.009570	0.026892	0.001321	0.037139	0.097281	0.110064	0.062637	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001802	0.000000
82.755768	-0.039500	0.008023	-0.993412	-0.003514	-0.006550	0.003381	55.507812	151.703125	-317.062500	-0.009648	-0.037868	0.000000	0.000000	-0.880000	0.000000	-0.072644	-0.036625	0.116436	-0.097313	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.088867	0.313016	0.000000	0.002838	0.009559	0.026892	0.001325	0.037491	0.096951	0.110393	0.062285	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001819	0.000000
82.760773	-0.040477	0.009488	-0.993656	-0.003514	-0.007615	0.003381	-65.914597	55.507812	-317.062500	-0.009649	-0.037489	0.000000	0.000000	-0.880000	0.000000	-0.072449	-0.036672	0.116408	-0.097457	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.084290	0.318153	0.000000	0.002863	0.009705	0.026892	0.001324	0.037319	0.096830	0.110514	0.062457	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001837	0.000000
82.765778	-0.041697	0.007291	-0.995365	-0.003514	-0.006550	0.001253	55.507812	149.421875	-321.812500	-0.009652	-0.041462	0.000000	0.000000	-0.880000	0.000000	-0.072257	-0.036609	0.115668	-0.097805	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.061873	0.318283	0.000000	0.002018	0.009703	0.027524	0.001327	0.037535	0.096620	0.111989	0.060977	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001843	0.000000
82.770782	-0.039744	0.005094	-0.994144	-0.002450	-0.006550	0.001253	-65.914917	55.507812	-321.812500	-0.009649	-0.042126	0.000000	0.000000	-0.880000	0.000000	-0.072070	-0.036867	0.115772	-0.097727	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.058182	0.318130	0.000000	0.001912	0.009533	0.027524	0.001329	0.037791	0.096663	0.111905	0.060680	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001850	0.000000
